category_id,category_name,arabic_name,url_param,description,target_keywords,post_count_target
1,Faith and Belief,الإيمان,faith,Core articles on iman tawhid and the pillars of Islam,iman in Islam hadith pillars of Islam,12
2,Prayer and Worship,الصلاة والعبادة,prayer,Hadiths and articles on salah dhikr dua and fasting,Islamic prayer hadith salah hadith fasting Islam,15
3,Character and Manners,الأخلاق والآداب,character,Prophetic guidance on akhlaq honesty kindness and manners,Islamic manners hadith kindness in Islam,12
4,Patience and Gratitude,الصبر والشكر,patience,Hadiths on sabr tawakkul and shukr — endurance through trials,patience in Islam hadith sabr meaning,10
5,Family and Relationships,الأسرة والعلاقات,family,Prophetic guidance on marriage parenting and community,Islamic family hadith marriage in Islam,10
6,Knowledge and Wisdom,العلم والحكمة,knowledge,Hadiths on seeking knowledge and intellectual virtue in Islam,seeking knowledge Islam hadith Islamic wisdom,10
7,Daily Life and Sunnah,السنة اليومية,sunnah,Practical prophetic habits for everyday Muslim living,sunnah of the Prophet daily Islamic habits,15
8,Trials and Tests,المحن والابتلاء,trials,How Islam frames hardship suffering and divine wisdom,hardship in Islam hadith trials and tests Islam,8
9,Spirituality and the Heart,الروحانية والقلب,spirituality,Inner dimensions of Islamic practice — taqwa khushu and tawbah,spiritual growth Islam taqwa hadith,10
10,Social Justice and Compassion,العدل والرحمة,justice,Prophetic teachings on justice mercy and care for others,justice in Islam hadith Islamic compassion,8
